total_M,r,pvalue,total_F,r,pvalue,SNV_M,r,pvalue,SNV_F,r,pvalue,Indel_M,r,pvalue,Indel_F,r,pvalue
Ce_ARID1B,-0.030702936,0.872046986,Ce_ARID1B,-0.246908913,0.308167229,Ce_ARID1B_snv,0.275845807,0.133085141,Ce_ARID1B_snv,-0.258704547,0.270744669,Ce_ARID1B_indel,-0.071640183,0.706768069,Ce_ARID1B_indel,-0.158393066,0.517207503
Ce_KMT2D,0.04651882,0.807153809,Ce_KMT2D,-0.143610679,0.557512091,Ce_KMT2D_snv,0.025110307,0.89333626,Ce_KMT2D_snv,NA,NA,Ce_KMT2D_indel,0.087137692,0.647049177,Ce_KMT2D_indel,-0.143610679,0.557512091
Ce_MED12,0.035065187,0.854048511,Ce_MED12,-0.068606312,0.773806433,Ce_MED12_snv,0.223907253,0.217974598,Ce_MED12_snv,-0.010196255,0.965012102,Ce_MED12_indel,0.035065187,0.854048511,Ce_MED12_indel,-0.052693372,0.825379688
Ce_ZFHX3,0.005749178,0.975512919,Ce_ZFHX3,-0.042872483,0.85757032,Ce_ZFHX3_snv,-0.107086078,0.559657194,Ce_ZFHX3_snv,0,1,Ce_ZFHX3_indel,0.007588914,0.967680622,Ce_ZFHX3_indel,-0.030987042,0.896815026
Ce_FBXW7,0.323943072,0.070495057,Ce_FBXW7,-0.330778322,0.143030836,Ce_FBXW7_snv,0.029205294,0.873928346,Ce_FBXW7_snv,-0.221636655,0.334266763,Ce_FBXW7_indel,0.337489399,0.058889312,Ce_FBXW7_indel,-0.240285423,0.29409922
Ce_FANCM,0.065827615,0.724963461,Ce_FANCM,0.138908965,0.548169515,Ce_FANCM_snv,0.009139447,0.961081814,Ce_FANCM_snv,-0.114707867,0.620522881,Ce_FANCM_indel,0.102109659,0.584659342,Ce_FANCM_indel,0.208179031,0.365169809
Ce_NIPBL,0.206440122,0.265180125,Ce_NIPBL,-0.370157473,0.118771015,Ce_NIPBL_snv,0.171676187,0.355770584,Ce_NIPBL_snv,-0.184697213,0.422846179,Ce_NIPBL_indel,0.155805036,0.402611688,Ce_NIPBL_indel,-0.294351464,0.221227293
Ce_KAT6A,0.054588297,0.766669981,Ce_KAT6A,0.104306821,0.652742395,Ce_KAT6A_snv,0.272582743,0.131206793,Ce_KAT6A_snv,NA,NA,Ce_KAT6A_indel,-0.078392776,0.669764996,Ce_KAT6A_indel,0.104306821,0.652742395
Ce_LRP1B,-0.123751197,0.507164281,Ce_LRP1B,-0.002549064,0.99125061,Ce_LRP1B_snv,-0.136367447,0.46448098,Ce_LRP1B_snv,-0.002549064,0.99125061,Ce_LRP1B_indel,0.04867549,0.79135475,Ce_LRP1B_indel,NA,NA
Ce_POLE,0.210540711,0.255593073,Ce_POLE,-0.301788762,0.18367094,Ce_POLE_snv,-0.004737794,0.979819675,Ce_POLE_snv,-0.184697213,0.422846179,Ce_POLE_indel,0.2340366,0.197318042,Ce_POLE_indel,-0.249184883,0.276028914
Ce_PTPRD,-0.270466036,0.148301179,Ce_PTPRD,-0.410698735,0.064402501,Ce_PTPRD_snv,-0.312848512,0.086601947,Ce_PTPRD_snv,-0.369394426,0.099349988,Ce_PTPRD_indel,0.065808192,0.72504149,Ce_PTPRD_indel,-0.237062925,0.300817877
Ce_CEBPA,0.060663968,0.750147419,Ce_CEBPA,0.047227575,0.838912709,Ce_CEBPA_snv,NA,NA,Ce_CEBPA_snv,NA,NA,Ce_CEBPA_indel,0.060663968,0.750147419,Ce_CEBPA_indel,-0.064419941,0.781457153
Ce_NOTCH1,-0.090852492,0.62094141,Ce_NOTCH1,0.078230116,0.736071115,Ce_NOTCH1_snv,-0.109890741,0.549358687,Ce_NOTCH1_snv,NA,NA,Ce_NOTCH1_indel,-0.000231306,0.998997534,Ce_NOTCH1_indel,0.078230116,0.736071115
Ce_ARID1A,0.403215213,0.022119998,Ce_ARID1A,-0.247133805,0.293507806,Ce_ARID1A_snv,NA,NA,Ce_ARID1A_snv,0.073878885,0.750287761,Ce_ARID1A_indel,0.403215213,0.022119998,Ce_ARID1A_indel,-0.32170071,0.166618911
Ce_ATRX,0.359106134,0.047256633,Ce_ATRX,0.214155492,0.364593486,Ce_ATRX_snv,0.241466152,0.183059265,Ce_ATRX_snv,NA,NA,Ce_ATRX_indel,0.24166322,0.190282655,Ce_ATRX_indel,0.214155492,0.364593486
Ce_BRD4,0.079021578,0.667266875,Ce_BRD4,-0.117345174,0.61245553,Ce_BRD4_snv,0.317129691,0.076968404,Ce_BRD4_snv,NA,NA,Ce_BRD4_indel,-0.078350281,0.669933947,Ce_BRD4_indel,-0.117345174,0.61245553
